user,recent_commits,last_commit_date,recent_prs,recent_issues,issue_comments,last_active_date,sig_label_stats,area_label_stats,kind_label_stats,role,changed_files_freq
0904-mansi,0.0,,0.0,0.0,0.0,,"[['api-machinery', 1]]",[],"[['cleanup', 1]]",opened_by,"[['types.go', 1]]"
0PrashantYadav0,0.0,,1.0,0.0,0.0,,,,,,
0ekk,1.0,2024-07-22T03:52:40Z,0.0,0.0,0.0,2024-07-22T03:52:40Z,[],[],[],opened_by,"[['zz_generated.openapi.go', 1], ['types.go', 2]]"
0x5457,1.0,2024-08-13T03:25:11Z,1.0,0.0,0.0,2024-08-13T03:25:11Z,[],[],[],opened_by,"[['recommended.go', 1]]"
0xMALVEE,1.0,2024-05-23T17:40:18Z,1.0,0.0,0.0,2024-05-23T17:40:18Z,[],[],[],opened_by,"[['listers_test.go', 1]]"
0xalank,0.0,,0.0,0.0,0.0,,,,,,
0xchabbi,0.0,,0.0,0.0,0.0,,"[['architecture', 1]]","[['code-organization', 1]]","[['cleanup', 1]]",unknown,[]
0xff-dev,0.0,,0.0,0.0,0.0,,[],[],[],opened_by,"[['go.sum', 1], ['slice.go', 1], ['slice_test.go', 1], ['defaultfs.go', 1], ['main.go', 1], ['controllermanager.go', 1], ['rbac.go', 1], ['util.go', 1], ['controller_utils_test.go', 1], ['deployment_controller_test.go', 1], ['controller_history_test.go', 1], ['replica_set_test.go', 1], ['stateful_set_utils_test.go', 1], ['labels.go', 1]]"
0xmichalis,0.0,,0.0,0.0,0.0,,,,,,
0xpwnstar,0.0,,0.0,0.0,0.0,,"[['storage', 1]]",[],[],unknown,[]
11janci,0.0,,0.0,0.0,0.0,,,,,,
196Ikuchil,0.0,,0.0,0.0,0.0,,[],[],[],opened_by,"[['deprecated.go', 1], ['events.go', 1], ['utils.go', 1], ['utils_test.go', 1]]"
1978629634,0.0,,0.0,0.0,0.0,,"[['scheduling', 1]]",[],"[['feature', 1]]",opened_by,"[['defaults.go', 2], ['default_plugins.go', 2], ['default_plugins_test.go', 2], ['defaults_test.go', 1], ['node_name.go', 2], ['node_name_test.go', 1]]"
20202200,1.0,2024-07-19T01:23:54Z,3.0,0.0,0.0,2024-07-19T01:23:54Z,[],[],[],opened_by,"[['conversion_test.go', 2], ['common.sh', 1]]"
244372610,0.0,,0.0,0.0,0.0,,[],[],[],opened_by,"[['waitcontrolplane.go', 1], ['checks.go', 1]]"
