Issue ID,Issue number,Labels,Assignee,Assignees
914212344,102677,"['priority/backlog', 'area/kubectl', 'lgtm', 'release-note', 'size/XS', 'kind/feature', 'approved', 'sig/cli', 'cncf-cla: yes', 'triage/accepted']",eddiezane,"['dougsland', 'eddiezane', 'apelisse']"
1022981089,105611,"['area/test', 'sig/scheduling', 'lgtm', 'release-note', 'size/XXL', 'kind/api-change', 'kind/feature', 'approved', 'cncf-cla: yes', 'sig/testing', 'needs-priority', 'api-review', 'needs-triage']",liggitt,"['liggitt', 'Huang-Wei', 'ahg-g']"
1323012079,111569,"['kind/cleanup', 'lgtm', 'sig/api-machinery', 'size/S', 'release-note-none', 'approved', 'cncf-cla: yes', 'sig/cloud-provider', 'ok-to-test', 'needs-priority', 'triage/accepted']",jiahuif,"['jiahuif', 'cici37', 'andrewsykim']"
808039110,99078,"['kind/cleanup', 'sig/scalability', 'lgtm', 'size/XS', 'release-note-none', 'approved', 'cncf-cla: yes', 'needs-priority', 'needs-triage']",wojtek-t,['wojtek-t']
1171444689,108748,"['kind/bug', 'priority/backlog', 'area/kubectl', 'lgtm', 'release-note', 'size/XS', 'approved', 'sig/cli', 'cncf-cla: yes', 'triage/accepted']",ardaguclu,['ardaguclu']
803488494,98873,"['kind/bug', 'sig/scheduling', 'lgtm', 'release-note', 'size/M', 'cherry-pick-approved', 'approved', 'cncf-cla: yes', 'ok-to-test', 'needs-priority', 'needs-triage']",damemi,['damemi']
1758436121,118680,"['sig/network', 'kind/cleanup', 'area/kube-proxy', 'lgtm', 'sig/api-machinery', 'size/L', 'release-note-none', 'approved', 'cncf-cla: yes', 'needs-priority', 'triage/accepted']",apelisse,"['apelisse', 'thockin', 'aojea']"
1303725950,111119,"['area/test', 'priority/important-soon', 'area/apiserver', 'lgtm', 'sig/api-machinery', 'size/L', 'kind/feature', 'release-note-action-required', 'sig/auth', 'approved', 'cncf-cla: yes', 'sig/testing', 'triage/accepted']",enj,['enj']
1618737718,116458,"['area/test', 'area/kubelet', 'sig/scheduling', 'area/apiserver', 'lgtm', 'sig/node', 'sig/api-machinery', 'size/XXL', 'kind/api-change', 'kind/feature', 'release-note-action-required', 'sig/apps', 'approved', 'cncf-cla: yes', 'sig/testing', 'do-not-merge/hold', 'area/code-generation', 'needs-priority', 'triage/accepted']",thockin,['thockin']
1357633200,112156,"['kind/bug', 'priority/important-soon', 'area/kubectl', 'lgtm', 'release-note', 'size/M', 'cherry-pick-approved', 'approved', 'sig/cli', 'cncf-cla: yes', 'kind/regression', 'triage/accepted']",soltysh,"['soltysh', 'saschagrunert']"
2295129380,124867,"['kind/cleanup', 'area/apiserver', 'lgtm', 'sig/api-machinery', 'size/S', 'release-note-none', 'approved', 'cncf-cla: yes', 'needs-priority', 'triage/accepted']",wojtek-t,['wojtek-t']
1951083925,121343,"['area/apiserver', 'lgtm', 'sig/api-machinery', 'size/L', 'kind/feature', 'release-note-none', 'approved', 'cncf-cla: yes', 'needs-priority', 'triage/accepted']",jpbetz,['jpbetz']
